id	chrom
chromo001	NC_056429.1
chromo002	NC_056430.1
chromo003	NC_056431.1
chromo004	NC_056432.1
chromo005	NC_056433.1
chromo006	NC_056434.1
chromo007	NC_056435.1
chromo008	NC_056436.1
chromo009	NC_056437.1
chromo010	NC_056438.1
chromo011	NC_056439.1
chromo012	NC_056440.1
chromo013	NC_056441.1
chromo014	NC_056442.1
chromo015	NC_056443.1
chromo016	NC_056444.1
chromo017	NC_056445.1
chromo018	NC_056446.1
chromo019	NC_056447.1
chromo020	NC_056448.1
chromo021	NC_056449.1
chromo022	NC_056450.1
chromo023	NC_056451.1
chromo024	NC_056452.1
chromo025	NC_056453.1
chromo026	NC_056454.1
chromo027	NC_056455.1
chromo028	NC_056456.1
chromo029	NC_056457.1
chromo030	NC_056458.1
chromo031	NC_056459.1
chromo032	NC_056460.1
chromo033	NC_056461.1
chromo034	NC_056462.1
